epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
134,25572.2,0.99701,0.4131,0.91249,0.99222,0.99389,0.99444,0.75624,1.03099,0.37457,0.90451,0.0034165,0.0034165,0.0034165
135,25762.7,0.98834,0.41092,0.91404,0.99224,0.99389,0.99444,0.75631,1.02974,0.37398,0.90427,0.003367,0.003367,0.003367
136,25953.2,0.98285,0.40839,0.91102,0.99238,0.99404,0.99444,0.75674,1.02891,0.37391,0.90413,0.0033175,0.0033175,0.0033175
137,26143.6,0.98756,0.40849,0.91081,0.99239,0.99404,0.99444,0.75727,1.02797,0.37325,0.9038,0.003268,0.003268,0.003268
138,26334.1,0.98695,0.40848,0.91316,0.99239,0.99401,0.99443,0.75777,1.02754,0.37356,0.90364,0.0032185,0.0032185,0.0032185
139,26524.6,0.97878,0.40641,0.90705,0.99239,0.99401,0.99443,0.75783,1.02624,0.37316,0.9034,0.003169,0.003169,0.003169
140,26715.1,0.97575,0.40687,0.90831,0.99239,0.99397,0.99443,0.75811,1.02535,0.37302,0.90319,0.0031195,0.0031195,0.0031195
141,26905.6,0.97774,0.40567,0.9068,0.99253,0.99409,0.99443,0.75826,1.02449,0.37218,0.90301,0.00307,0.00307,0.00307
142,27096.1,0.97066,0.40315,0.90861,0.99239,0.99395,0.99443,0.75806,1.02339,0.37173,0.9028,0.0030205,0.0030205,0.0030205
143,27286.7,0.97641,0.40596,0.90828,0.99253,0.99409,0.99442,0.75843,1.02234,0.37199,0.90262,0.002971,0.002971,0.002971
144,27477.2,0.96432,0.39933,0.90695,0.99253,0.99407,0.99442,0.75873,1.02181,0.37136,0.90236,0.0029215,0.0029215,0.0029215
145,27667.7,0.96189,0.39945,0.90371,0.99275,0.9926,0.99442,0.75905,1.02125,0.37102,0.90218,0.002872,0.002872,0.002872
146,27858.2,0.96023,0.3997,0.89938,0.9928,0.99256,0.99441,0.75916,1.02094,0.37091,0.90203,0.0028225,0.0028225,0.0028225
147,28048.7,0.95825,0.39868,0.90135,0.99253,0.99395,0.99443,0.75934,1.02056,0.37088,0.90181,0.002773,0.002773,0.002773
148,28239.3,0.95718,0.39669,0.90315,0.99285,0.9926,0.99442,0.75959,1.02004,0.37091,0.90168,0.0027235,0.0027235,0.0027235
149,28429.8,0.96237,0.39702,0.90364,0.99309,0.99328,0.99441,0.75932,1.0195,0.37056,0.90145,0.002674,0.002674,0.002674
150,28620.2,0.95603,0.39369,0.9032,0.99312,0.99327,0.99442,0.75945,1.01859,0.37021,0.90127,0.0026245,0.0026245,0.0026245
151,28810.7,0.95526,0.39646,0.90234,0.9929,0.99312,0.99442,0.75977,1.01781,0.36968,0.90105,0.002575,0.002575,0.002575
152,29001.2,0.94767,0.38934,0.8993,0.99294,0.99327,0.99441,0.76013,1.01744,0.36926,0.90084,0.0025255,0.0025255,0.0025255
153,29191.7,0.94772,0.39064,0.8989,0.99373,0.99395,0.99454,0.76002,1.01678,0.3691,0.90057,0.002476,0.002476,0.002476
154,29382.2,0.94878,0.39108,0.89816,0.9931,0.99435,0.99453,0.76002,1.01601,0.36885,0.90039,0.0024265,0.0024265,0.0024265
155,29572.6,0.93534,0.39013,0.89469,0.99255,0.99378,0.99441,0.76034,1.01548,0.36873,0.9002,0.002377,0.002377,0.002377
156,29763.1,0.93736,0.38922,0.89274,0.99253,0.99383,0.99441,0.7608,1.01471,0.36882,0.89997,0.0023275,0.0023275,0.0023275
157,29953.6,0.94803,0.38964,0.89926,0.99321,0.99451,0.99453,0.76098,1.01441,0.36851,0.89979,0.002278,0.002278,0.002278
158,30144.2,0.93111,0.38403,0.89585,0.99254,0.99377,0.99441,0.76162,1.01362,0.36884,0.89964,0.0022285,0.0022285,0.0022285
159,30334.7,0.92668,0.38373,0.89632,0.99253,0.99378,0.99442,0.76166,1.01358,0.36897,0.8996,0.002179,0.002179,0.002179
160,30525.2,0.92225,0.38227,0.8904,0.99258,0.99377,0.99442,0.76184,1.0126,0.36872,0.89916,0.0021295,0.0021295,0.0021295
161,30715.7,0.92761,0.38383,0.89171,0.99266,0.99377,0.99441,0.76213,1.0119,0.36797,0.89905,0.00208,0.00208,0.00208
162,30906.2,0.92799,0.38481,0.89459,0.99265,0.99377,0.99441,0.76225,1.01165,0.36798,0.89888,0.0020305,0.0020305,0.0020305
163,31096.7,0.91904,0.38158,0.89204,0.99267,0.9938,0.99441,0.76276,1.01039,0.36787,0.89863,0.001981,0.001981,0.001981
164,31287.2,0.91504,0.37951,0.89325,0.99268,0.99378,0.99441,0.76339,1.00976,0.36765,0.89847,0.0019315,0.0019315,0.0019315
165,31477.6,0.9098,0.37444,0.88997,0.99269,0.99376,0.99442,0.76364,1.00965,0.36718,0.89825,0.001882,0.001882,0.001882
166,31668,0.91421,0.37664,0.89102,0.99269,0.99375,0.99441,0.76391,1.00875,0.36695,0.8981,0.0018325,0.0018325,0.0018325
